Day,target,STOCH_slowk,STOCH_slowd,MACD,MACD_hist,CCI_5,CCI_10,CCI_21,CCI_50,MOM_5,MOM_10,MOM_21,RSI_5,RSI_10,RSI_21,RSI_50
2014-09-17,0.0,64.13151322490864,55.82919738459561,-6.216836086049568,8.287388713022104,-63.11087508521266,-52.33384686891686,-132.68537085548624,-89.93241713623344,-55.182007,-57.81402600000001,-104.39401300000003,19.363753268529372,31.929725536240007,32.26786558351445,39.54010434755077
2014-09-18,0.0,64.13151322490864,55.82919738459561,-6.216836086049568,8.287388713022104,-63.11087508521266,-52.33384686891686,-132.68537085548624,-89.93241713623344,-55.182007,-57.81402600000001,-104.39401300000003,19.363753268529372,31.929725536240007,32.26786558351445,39.54010434755077
2014-09-19,0.0,64.13151322490864,55.82919738459561,-6.216836086049568,8.287388713022104,-63.11087508521266,-52.33384686891686,-132.68537085548624,-89.93241713623344,-55.182007,-57.81402600000001,-104.39401300000003,19.363753268529372,31.929725536240007,32.26786558351445,39.54010434755077
2014-09-20,1.0,64.13151322490864,55.82919738459561,-6.216836086049568,8.287388713022104,-63.11087508521266,-52.33384686891686,-132.68537085548624,-89.93241713623344,-55.182007,-57.81402600000001,-104.39401300000003,19.363753268529372,31.929725536240007,32.26786558351445,39.54010434755077
2014-09-21,0.0,64.13151322490864,55.82919738459561,-6.216836086049568,8.287388713022104,-63.11087508521266,-52.33384686891686,-132.68537085548624,-89.93241713623344,-55.182007,-57.81402600000001,-104.39401300000003,19.363753268529372,31.929725536240007,32.26786558351445,39.54010434755077
2014-09-22,1.0,64.13151322490864,55.82919738459561,-6.216836086049568,8.287388713022104,-50.968576094700616,-52.33384686891686,-132.68537085548624,-89.93241713623344,-55.182007,-57.81402600000001,-104.39401300000003,19.363753268529372,31.929725536240007,32.26786558351445,39.54010434755077
2014-09-23,1.0,64.13151322490864,55.82919738459561,-6.216836086049568,8.287388713022104,166.66666666666666,-52.33384686891686,-132.68537085548624,-89.93241713623344,11.350982999999985,-57.81402600000001,-104.39401300000003,45.02936455475957,31.929725536240007,32.26786558351445,39.54010434755077
2014-09-24,0.0,64.13151322490864,55.82919738459561,-6.216836086049568,8.287388713022104,90.58730602026272,-52.33384686891686,-132.68537085548624,-89.93241713623344,28.408997,-57.81402600000001,-104.39401300000003,39.19484440987162,31.929725536240007,32.26786558351445,39.54010434755077
2014-09-25,0.0,64.13151322490864,55.82919738459561,-6.216836086049568,8.287388713022104,6.2188274097914995,-52.33384686891686,-132.68537085548624,-89.93241713623344,2.670012999999983,-57.81402600000001,-104.39401300000003,34.092120423095565,31.929725536240007,32.26786558351445,39.54010434755077
2014-09-26,0.0,40.215083593694516,54.641627952829616,-6.216836086049568,8.287388713022104,-65.93043049488475,-52.33384686891686,-132.68537085548624,-89.93241713623344,5.603973999999994,-57.81402600000001,-104.39401300000003,30.992102975319963,31.929725536240007,32.26786558351445,39.54010434755077
