start,end,duration,round_epochs,loss,accuracy,precision,recall,f1,specificity,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_specificity,lr,lr,u1,u2,dropout,batch_size,epochs,optimizer,activation,dense_neurons,window
08/27/23-021333,08/27/23-021852,319.41256165504456,21,0.6884245276451111,0.544481635093689,0.5246978998184204,0.5977616906166077,0.5390615463256836,0.4058113992214203,0.6879775524139404,0.56083083152771,0.44859305024147034,0.5101713538169861,0.454382985830307,0.4855402410030365,1.8553914e-10,0.0001,256,256,0.3,64,100,Adam,elu,32,50
08/27/23-021852,08/27/23-022707,495.03032088279724,17,0.6870384216308594,0.5420074462890625,0.5875157713890076,0.5114578008651733,0.5013434886932373,0.5205911993980408,0.690650463104248,0.5454545617103577,0.4444444477558136,0.09638553857803345,0.1584158092737198,0.9038461446762085,3.0353917e-07,0.001,128,256,0.3,256,100,Adam,elu,64,200
08/27/23-022708,08/27/23-022829,81.68431496620178,19,0.690715491771698,0.5223097205162048,0.5333217978477478,0.5437847971916199,0.5167526006698608,0.4554034471511841,0.6886632442474365,0.5655737519264221,0.30128204822540283,0.3219178020954132,0.3112582266330719,0.718181848526001,9.166088e-09,0.01,256,256,0.5,256,100,Adam,elu,32,21
08/27/23-022830,08/27/23-023845,615.5087013244629,11,0.6955771446228027,0.5308550000190735,0.5893075466156006,0.6920448541641235,0.6151659488677979,0.34297963976860046,0.7042428255081177,0.4491978585720062,0.4447777569293976,0.9876543879508972,0.612926185131073,0.018018018454313278,0.001,0.01,128,256,0.3,64,100,Adam,elu,32,200
08/27/23-023846,08/27/23-024019,93.48201704025269,21,0.6894702911376953,0.5400262475013733,0.504173219203949,0.5950070023536682,0.5254098773002625,0.4039272964000702,0.6884807348251343,0.5601093173027039,0.4431053400039673,0.4749588966369629,0.424154669046402,0.5167832374572754,1.8553914e-10,0.001,128,128,0.3,64,100,Adam,elu,64,21
08/27/23-024019,08/27/23-024819,479.5894424915314,11,0.6944974660873413,0.5315985083580017,0.5842174887657166,0.760088324546814,0.6470781564712524,0.24651163816452026,0.6960856914520264,0.5347593426704407,0.49240556359291077,0.751732349395752,0.5907190442085266,0.3717380464076996,0.001,0.0001,128,128,0.3,64,100,Adam,elu,64,200
08/27/23-024819,08/27/23-025222,242.78143858909607,27,0.689947783946991,0.5498327612876892,0.550754725933075,0.8173487782478333,0.6503176093101501,0.18461786210536957,0.6907591223716736,0.5192878246307373,0.5044888257980347,0.9339199662208557,0.6508833765983582,0.040339548140764236,1.3959933e-16,0.001,128,128,0.5,64,100,Adam,relu,32,50
08/27/23-025222,08/27/23-025457,154.5071017742157,21,0.6901732087135315,0.5324414968490601,0.5607044100761414,0.5956389307975769,0.5718091130256653,0.42453518509864807,0.6906450986862183,0.5519287586212158,0.2977941036224365,0.28928571939468384,0.29347822070121765,0.7629310488700867,1.8553914e-10,0.01,256,128,0.5,256,100,Adam,relu,32,50
08/27/23-025457,08/27/23-030403,546.15283370018,11,0.6934975385665894,0.540520429611206,0.5835974216461182,0.7790784239768982,0.6518714427947998,0.23785148561000824,0.7069913744926453,0.4491978585720062,0.4390699565410614,0.9209876656532288,0.5945327877998352,0.06544779986143112,0.001,0.0001,128,256,0.5,64,100,Adam,relu,64,200
08/27/23-030403,08/27/23-030606,122.63399696350098,28,0.6909816265106201,0.5459317564964294,0.5469340682029724,0.8918727040290833,0.6753987669944763,0.09665750712156296,0.6904355883598328,0.5191256999969482,0.5109942555427551,0.9383333325386047,0.6587799191474915,0.03846153989434242,9.3818445e-18,0.01,128,128,0.5,64,100,Adam,relu,64,21
08/27/23-030606,08/27/23-030836,150.0584363937378,23,0.6886272430419922,0.5492125749588013,0.548564076423645,0.6683449745178223,0.5724374055862427,0.3390601575374603,0.688721239566803,0.5573770403862,0.45018085837364197,0.591941773891449,0.4942914545536041,0.4103729724884033,2.5174988e-12,0.0001,256,256,0.5,64,100,Adam,elu,64,21
08/27/23-030837,08/27/23-032118,761.3187623023987,30,0.6899557709693909,0.5531772375106812,0.546614944934845,0.8932753801345825,0.6722437143325806,0.09839325398206711,0.6898281574249268,0.5252225399017334,0.504891574382782,0.8605921268463135,0.6321333646774292,0.09614214301109314,3.1391327e-20,0.0001,256,256,0.3,32,100,Adam,elu,32,50
08/27/23-032118,08/27/23-032942,503.4465835094452,11,0.6934624910354614,0.5546468496322632,0.577464759349823,0.9826249480247498,0.7211336493492126,0.014738046564161777,0.7039470076560974,0.4438502788543701,0.44332626461982727,1.0,0.6137587428092957,0.0,0.001,0.0001,256,128,0.5,64,100,Adam,relu,32,200
08/27/23-032942,08/27/23-033258,196.0817174911499,20,0.6874493956565857,0.5431438088417053,0.5490334630012512,0.5207929015159607,0.5072730183601379,0.5153759121894836,0.6879667639732361,0.5667656064033508,0.3041957914829254,0.3107142746448517,0.3074204623699188,0.7586206793785095,1.3709591e-09,0.01,256,256,0.5,256,100,Adam,relu,64,50
08/27/23-033259,08/27/23-034416,677.1110467910767,12,0.6911205649375916,0.5457249283790588,0.5877053737640381,0.7413871884346008,0.633866548538208,0.28047946095466614,0.6970756649971008,0.47593581676483154,0.4524611234664917,0.835428774356842,0.584343433380127,0.18868659436702728,0.0003328711,0.001,256,128,0.3,32,100,Adam,elu,64,200
08/27/23-034416,08/27/23-035202,465.7214856147766,11,0.6950592398643494,0.5368029475212097,0.5836533904075623,0.7698569893836975,0.6516980528831482,0.23897495865821838,0.6940736174583435,0.5080214142799377,0.4472222328186035,0.4375627040863037,0.4383838176727295,0.5698639750480652,0.001,0.01,128,128,0.3,64,100,Adam,elu,64,200
08/27/23-035202,08/27/23-035550,227.52198910713196,19,0.6909782886505127,0.5371237397193909,0.5425098538398743,0.737445592880249,0.6210232377052307,0.25274285674095154,0.6908429265022278,0.5400593280792236,0.5122915506362915,0.8990229964256287,0.6497693657875061,0.10206011682748795,9.166088e-09,0.001,128,256,0.5,64,100,Adam,relu,32,50
08/27/23-035550,08/27/23-040036,286.6370072364807,25,0.6912018060684204,0.5518394708633423,0.5520055890083313,0.9793016910552979,0.7018419504165649,0.01759754680097103,0.691195547580719,0.5252225399017334,0.5203877091407776,1.0,0.6765315532684326,0.0,2.2897347e-14,0.0001,128,256,0.3,32,100,Adam,relu,32,50
08/27/23-040037,08/27/23-040608,331.5706126689911,28,0.6899057030677795,0.5558528304100037,0.5520064830780029,0.8562107682228088,0.6649795174598694,0.142847940325737,0.6899863481521606,0.5341246128082275,0.5116161704063416,0.8471265435218811,0.631395161151886,0.12513467669487,9.3818445e-18,0.01,128,256,0.5,32,100,Adam,elu,64,50
08/27/23-040609,08/27/23-042627,1218.5012469291687,21,0.6913327574729919,0.5561338067054749,0.5863392353057861,0.8589206337928772,0.6919188499450684,0.16238200664520264,0.7005769610404968,0.49197861552238464,0.460317462682724,0.8184468150138855,0.5875871181488037,0.23369626700878143,1.8553914e-10,0.01,256,256,0.5,64,100,Adam,elu,64,200
08/27/23-042627,08/27/23-042944,196.3381130695343,28,0.6903292536735535,0.5525083541870117,0.5512862801551819,0.9764797687530518,0.7006784081459045,0.019573841243982315,0.6907405257225037,0.5252225399017334,0.5203877091407776,1.0,0.6765315532684326,0.0,9.3818445e-18,0.0001,128,128,0.3,32,100,Adam,relu,32,50
08/27/23-042944,08/27/23-043222,158.225989818573,23,0.6898302435874939,0.5728346705436707,0.5674027800559998,0.8922213912010193,0.6919435858726501,0.15731512010097504,0.690443754196167,0.5273224115371704,0.5025492310523987,0.8453225493431091,0.628864586353302,0.12218337506055832,2.5174988e-12,0.0001,256,256,0.3,64,100,Adam,relu,32,21
08/27/23-043223,08/27/23-043512,168.98223114013672,22,0.6913505792617798,0.5459317564964294,0.5439789891242981,0.7957257628440857,0.6426721215248108,0.19200082123279572,0.6913456320762634,0.5437158346176147,0.5142393708229065,0.7785627841949463,0.6076655983924866,0.2030232548713684,2.2720463e-11,0.001,256,128,0.5,32,100,Adam,relu,32,21
08/27/23-043512,08/27/23-043622,70.15307641029358,23,0.6882297992706299,0.5400262475013733,0.56197589635849,0.5973030924797058,0.5509726405143738,0.4256012439727783,0.6888241171836853,0.5573770403862,0.2950310707092285,0.32534247636795044,0.3094462454319,0.699999988079071,2.5174988e-12,0.01,128,256,0.5,256,100,Adam,relu,32,21
08/27/23-043622,08/27/23-044541,559.0490210056305,20,0.6872180104255676,0.5442379117012024,0.48125994205474854,0.4936826229095459,0.4813214838504791,0.5424637794494629,0.6894845366477966,0.5508021116256714,0.4736842215061188,0.10843373835086823,0.1764705777168274,0.9038461446762085,1.3709591e-09,0.001,128,256,0.3,256,100,Adam,relu,64,200
08/27/23-044542,08/27/23-044725,103.00662469863892,28,0.691023051738739,0.5288714170455933,0.5333172678947449,0.8460338115692139,0.6436033844947815,0.10139136761426926,0.6905152201652527,0.5245901346206665,0.5063911080360413,0.8594194054603577,0.6326607465744019,0.10945713520050049,9.3818445e-18,0.0001,128,128,0.5,32,100,Adam,elu,64,21
08/27/23-044725,08/27/23-045343,378.3057689666748,25,0.6899511814117432,0.5458194017410278,0.5713959336280823,0.7599730491638184,0.6284166574478149,0.2392851561307907,0.6901063919067383,0.5489614009857178,0.5257673859596252,0.6952046751976013,0.5920167565345764,0.31887945532798767,2.2897347e-14,0.001,256,256,0.5,64,100,Adam,relu,64,50
08/27/23-045344,08/27/23-045429,45.86682152748108,21,0.6878582835197449,0.5367454290390015,0.5507120490074158,0.5424090027809143,0.5158699154853821,0.4860488176345825,0.6891509890556335,0.5655737519264221,0.3047945201396942,0.3047945201396942,0.3047944903373718,0.7409090995788574,1.8553914e-10,0.001,128,128,0.3,256,100,Adam,relu,32,21
08/27/23-045430,08/27/23-050143,433.6313078403473,23,0.6873418688774109,0.5434944033622742,0.4787702262401581,0.4829469919204712,0.46995866298675537,0.5504599213600159,0.6893318891525269,0.5508021116256714,0.4736842215061188,0.10843373835086823,0.1764705777168274,0.9038461446762085,2.5174988e-12,0.0001,128,128,0.3,256,100,Adam,relu,64,200
08/27/23-050144,08/27/23-050312,87.86887741088867,19,0.691633403301239,0.5277591943740845,0.5403090119361877,0.6339960098266602,0.5720331072807312,0.3528139293193817,0.6897052526473999,0.56083083152771,0.29801324009895325,0.3214285671710968,0.30927830934524536,0.7370689511299133,9.166088e-09,0.01,128,128,0.5,256,100,Adam,relu,32,50
08/27/23-050312,08/27/23-050834,321.9871699810028,29,0.6902974247932434,0.5571906566619873,0.5542588829994202,0.9774841666221619,0.703105092048645,0.02857270836830139,0.6903736591339111,0.5252225399017334,0.5203877091407776,1.0,0.6765315532684326,0.0,5.705106e-19,0.0001,128,256,0.3,32,100,Adam,relu,64,50
08/27/23-050834,08/27/23-051041,126.5037670135498,23,0.6898154020309448,0.5380577445030212,0.5446774363517761,0.6276113390922546,0.5474571585655212,0.36184224486351013,0.6882374286651611,0.5546448230743408,0.44231006503105164,0.5352562069892883,0.46226537227630615,0.45528361201286316,2.5174988e-12,0.0001,128,256,0.5,64,100,Adam,elu,64,21
08/27/23-051041,08/27/23-051215,94.33425664901733,29,0.6901581287384033,0.5511810779571533,0.5614583492279053,0.7013100981712341,0.6146069169044495,0.33485278487205505,0.6898211240768433,0.5409836173057556,0.4636220932006836,0.5862252712249756,0.5071852207183838,0.3835664391517639,5.705106e-19,0.01,256,128,0.3,256,100,Adam,relu,32,21
08/27/23-051216,08/27/23-052020,484.8553795814514,11,0.696472704410553,0.5315985083580017,0.6022098064422607,0.6849503517150879,0.6056784987449646,0.36192378401756287,0.6977463960647583,0.529411792755127,0.48328733444213867,0.6778813004493713,0.5603598952293396,0.4178750813007355,0.001,0.001,128,128,0.3,64,100,Adam,elu,64,200
08/27/23-052021,08/27/23-052415,234.2884647846222,19,0.6914234757423401,0.5377926230430603,0.5639227032661438,0.6204667091369629,0.5819823145866394,0.39742422103881836,0.6923977732658386,0.5400593280792236,0.5040110349655151,0.842631995677948,0.6283589601516724,0.13644924759864807,9.166088e-09,0.01,128,256,0.5,64,100,Adam,relu,64,50
08/27/23-052415,08/27/23-053124,429.11869072914124,28,0.6912645101547241,0.5531772375106812,0.5524687767028809,1.0,0.7070613503456116,0.0,0.6911340951919556,0.5252225399017334,0.5203877091407776,1.0,0.6765315532684326,0.0,9.3818445e-18,0.0001,256,128,0.3,32,100,Adam,relu,32,50
08/27/23-053125,08/27/23-053339,134.13126158714294,24,0.6908151507377625,0.5511810779571533,0.5509768128395081,0.9662325382232666,0.6995734572410583,0.028122812509536743,0.6904189586639404,0.505464494228363,0.5053582787513733,0.9466667175292969,0.6554102301597595,0.006410256493836641,2.5240153e-13,0.0001,128,256,0.5,64,100,Adam,relu,64,21
08/27/23-053339,08/27/23-053543,123.56941366195679,22,0.689281702041626,0.5406824350357056,0.5038051009178162,0.6013652682304382,0.5305774211883545,0.40126851201057434,0.6880062222480774,0.5519125461578369,0.4192708432674408,0.45005694031715393,0.388298898935318,0.5187256932258606,2.2720463e-11,0.01,128,256,0.5,64,100,Adam,elu,64,21
08/27/23-053543,08/27/23-053704,80.8403582572937,19,0.690819501876831,0.5380577445030212,0.5370381474494934,0.7312114834785461,0.6084036827087402,0.2516818046569824,0.6905211806297302,0.5519125461578369,0.5315153002738953,0.7909803986549377,0.6246331334114075,0.2320512980222702,9.166088e-09,0.01,128,128,0.5,64,100,Adam,relu,32,21
08/27/23-053704,08/27/23-055021,796.7108578681946,14,0.6884963512420654,0.559107780456543,0.5762549638748169,0.8294150829315186,0.673237144947052,0.18792542815208435,0.6966778635978699,0.5133689641952515,0.47364816069602966,0.7545931339263916,0.5785149335861206,0.3220510482788086,2.7323722e-05,0.0001,256,128,0.5,32,100,Adam,elu,32,200
08/27/23-055021,08/27/23-055655,394.27642607688904,21,0.6868324875831604,0.540520429611206,0.4822189509868622,0.4844939410686493,0.47609734535217285,0.5401251912117004,0.689420759677887,0.5454545617103577,0.4444444477558136,0.09638553857803345,0.1584158092737198,0.9038461446762085,1.8553914e-10,0.01,128,128,0.3,256,100,Adam,relu,64,200
08/27/23-055656,08/27/23-060757,661.2150201797485,11,0.6975817084312439,0.524163544178009,0.5689886212348938,0.8194129467010498,0.6586496829986572,0.15561097860336304,0.6998759508132935,0.4438502788543701,0.44332626461982727,1.0,0.6137587428092957,0.0,0.001,0.01,256,256,0.5,64,100,Adam,relu,64,200
08/27/23-060757,08/27/23-061441,404.27443623542786,27,0.6882441639900208,0.5397993326187134,0.516187846660614,0.5955798029899597,0.5312197804450989,0.3992654085159302,0.6876583099365234,0.5548961162567139,0.44593456387519836,0.4972383677959442,0.4482592046260834,0.49480852484703064,1.3959933e-16,0.01,256,256,0.3,64,100,Adam,elu,32,50
08/27/23-061442,08/27/23-062021,338.7249279022217,28,0.6906927824020386,0.5439632534980774,0.546581506729126,0.9379289150238037,0.6845335960388184,0.04085134342312813,0.6902760863304138,0.5136612057685852,0.5083184242248535,0.9547619223594666,0.6587762832641602,0.011363636702299118,9.3818445e-18,0.0001,256,256,0.5,32,100,Adam,elu,32,21
08/27/23-062021,08/27/23-062545,324.5820105075836,29,0.6897820830345154,0.5518394708633423,0.5393379330635071,0.7922816872596741,0.6327835917472839,0.2020619958639145,0.6892619729042053,0.5459940433502197,0.5179924368858337,0.7913177013397217,0.6172758936882019,0.20175662636756897,5.705106e-19,0.001,128,256,0.3,32,100,Adam,elu,64,50
08/27/23-062546,08/27/23-063313,446.7701418399811,29,0.6902390122413635,0.5511705875396729,0.5480146408081055,0.9016220569610596,0.6749566793441772,0.08456086367368698,0.6903988718986511,0.5281898975372314,0.5094013810157776,0.8883432745933533,0.6433525681495667,0.07657844573259354,5.705106e-19,0.0001,256,128,0.3,32,100,Adam,elu,32,50
08/27/23-063313,08/27/23-063958,404.59474897384644,21,0.6866877675056458,0.5442379117012024,0.4736942946910858,0.49669674038887024,0.4765620529651642,0.5317540764808655,0.6890498399734497,0.5508021116256714,0.47999998927116394,0.14457830786705017,0.22222217917442322,0.875,1.8553914e-10,0.001,128,128,0.3,256,100,Adam,relu,32,200
08/27/23-063958,08/27/23-065202,724.2255039215088,28,0.6907035708427429,0.5471571683883667,0.5453044176101685,0.8948568105697632,0.6743859052658081,0.08568665385246277,0.6905848383903503,0.5222551822662354,0.5090652108192444,0.9286714196205139,0.6530861258506775,0.035015225410461426,9.3818445e-18,0.01,256,256,0.5,32,100,Adam,elu,32,50
08/27/23-065202,08/27/23-065335,93.08233189582825,21,0.6877292990684509,0.5458194017410278,0.5717631578445435,0.5611356496810913,0.5445249676704407,0.4787028729915619,0.6875887513160706,0.56083083152771,0.29738563299179077,0.32499998807907104,0.31058016419410706,0.732758641242981,1.8553914e-10,0.01,128,128,0.5,256,100,Adam,elu,64,50
